CustomerID,SignupDate,Gender,AgeBand,Segment,Tier,City,State,Region,PreferredChannel,ActivityWeight
500137,2019-05-10,Male,35-44,Gift Buyer,Tier-3,Siliguri,West Bengal,East,Flipkart,0.1658
500138,2020-03-22,Male,25-34,Gift Buyer,Tier-3,Rajkot,Gujarat,West,boAt Official Website,0.5327
500139,2024-01-16,Male,35-44,Gift Buyer,Tier-2,Kochi,Kerala,South,Flipkart,0.7869
500140,2024-09-23,Male,25-34,Student,Tier-1,Pune,Maharashtra,West,Amazon India,1.0095
500141,2023-06-15,Female,18-24,Student,Tier-1,Bengaluru,Karnataka,South,Amazon India,0.4025
500142,2022-09-20,Female,45+,Working Professional,Tier-2,Ludhiana,Punjab,North,Amazon India,1.2054
500143,2022-04-27,Male,18-24,Student,Tier-1,Ahmedabad,Gujarat,West,Amazon India,2.3705
500144,2023-06-15,Male,18-24,Young Professional,Tier-1,Hyderabad,Telangana,South,boAt Official Website,0.3335
500145,2022-04-08,Female,25-34,Young Professional,Tier-1,Hyderabad,Telangana,South,Amazon India,2.0321
500146,2022-09-13,Female,25-34,Young Professional,Tier-1,Ahmedabad,Gujarat,West,Croma,0.5887
500147,2020-05-25,Female,25-34,Young Professional,Tier-1,Mumbai,Maharashtra,West,Amazon India,2.3908
500148,2024-12-07,Male,18-24,Student,Tier-1,Mumbai,Maharashtra,West,Vijay Sales,0.5357
500149,2024-02-22,Male,18-24,Gamer,Tier-2,Nagpur,Maharashtra,West,Flipkart,2.8471
500150,2024-07-13,Female,45+,Family Buyer,Tier-2,Indore,Madhya Pradesh,Central,Flipkart,0.3869
500151,2024-10-02,Female,18-24,Young Professional,Tier-1,Mumbai,Maharashtra,West,boAt Official Website,2.6345
500152,2024-06-11,Male,18-24,Student,Tier-2,Indore,Madhya Pradesh,Central,Amazon India,0.1282
500153,2019-11-02,Male,18-24,Student,Tier-1,Bengaluru,Karnataka,South,Amazon India,0.625
500154,2022-04-05,Male,18-24,Gamer,Tier-1,Mumbai,Maharashtra,West,Flipkart,2.6923
500155,2020-01-20,Female,35-44,Working Professional,Tier-1,Kolkata,West Bengal,East,boAt Official Website,0.196
500156,2024-01-14,Female,18-24,Young Professional,Tier-1,Hyderabad,Telangana,South,Flipkart,2.1421
500157,2021-02-18,Female,18-24,Young Professional,Tier-2,Surat,Gujarat,West,Flipkart,1.7626
500158,2022-07-09,Female,25-34,Young Professional,Tier-2,Bhopal,Madhya Pradesh,Central,Amazon India,0.3941
500159,2023-06-20,Female,18-24,Young Professional,Tier-3,Rajkot,Gujarat,West,Amazon India,0.4542
500160,2023-05-02,Female,18-24,Young Professional,Tier-1,Bengaluru,Karnataka,South,Amazon India,1.2891
500161,2021-09-12,Male,18-24,Student,Tier-2,Surat,Gujarat,West,Vijay Sales,0.2561
500162,2020-03-21,Male,18-24,Student,Tier-3,Gwalior,Madhya Pradesh,Central,Amazon India,0.2855
500163,2023-11-14,Female,18-24,Student,Tier-1,Mumbai,Maharashtra,West,Amazon India,1.9352
500164,2020-10-17,Male,35-44,Working Professional,Tier-2,Ludhiana,Punjab,North,Flipkart,0.3107
500165,2020-07-23,Male,18-24,Gamer,Tier-1,Chennai,Tamil Nadu,South,Flipkart,0.5387
500166,2021-10-17,Male,35-44,Family Buyer,Tier-2,Indore,Madhya Pradesh,Central,Flipkart,0.6385
500167,2019-05-31,Female,25-34,Young Professional,Tier-2,Nagpur,Maharashtra,West,Amazon India,0.742
500168,2024-01-11,Male,25-34,Young Professional,Tier-1,Pune,Maharashtra,West,Amazon India,2.3778
500169,2021-08-28,Male,45+,Working Professional,Tier-2,Surat,Gujarat,West,boAt Official Website,2.4832
500170,2021-06-04,Female,35-44,Young Professional,Tier-1,Delhi,Delhi,North,Flipkart,0.6589
500171,2024-10-29,Male,18-24,Student,Tier-2,Indore,Madhya Pradesh,Central,Flipkart,0.3658
500172,2020-10-12,Female,18-24,Gamer,Tier-1,Mumbai,Maharashtra,West,Croma,2.0094
500173,2022-03-25,Female,35-44,Family Buyer,Tier-1,Mumbai,Maharashtra,West,Amazon India,1.0143
500174,2023-01-31,Male,25-34,Working Professional,Tier-1,Chennai,Tamil Nadu,South,boAt Official Website,1.8683
500175,2023-03-17,Female,18-24,Student,Tier-1,Mumbai,Maharashtra,West,Amazon India,0.4202
500176,2024-01-10,Male,18-24,Student,Tier-2,Lucknow,Uttar Pradesh,North,Flipkart,0.231
500177,2024-05-19,Male,35-44,Working Professional,Tier-1,Pune,Maharashtra,West,boAt Official Website,0.8379
500178,2022-06-12,Male,18-24,Student,Tier-1,Mumbai,Maharashtra,West,Flipkart,0.2789
500179,2020-12-24,Male,18-24,Student,Tier-1,Mumbai,Maharashtra,West,Croma,0.8714
500180,2022-08-11,Male,18-24,Young Professional,Tier-1,Hyderabad,Telangana,South,boAt Official Website,6.423
500181,2021-02-13,Female,18-24,Student,Tier-2,Nagpur,Maharashtra,West,Reliance Digital,0.288
500182,2020-08-23,Female,25-34,Young Professional,Tier-2,Indore,Madhya Pradesh,Central,Amazon India,0.4729
500183,2020-08-30,Male,18-24,Student,Tier-2,Bhopal,Madhya Pradesh,Central,boAt Official Website,0.1758
500184,2024-12-20,Male,25-34,Working Professional,Tier-3,Dhanbad,Jharkhand,East,Local Multi-brand Retail,0.5343
500185,2022-11-21,Female,35-44,Student,Tier-1,Delhi,Delhi,North,Flipkart,1.2232
500186,2022-04-07,Female,25-34,Student,Tier-2,Kochi,Kerala,South,Flipkart,0.7514
500187,2023-08-10,Male,35-44,Young Professional,Tier-1,Delhi,Delhi,North,Croma,0.4509
500188,2023-02-23,Male,35-44,Working Professional,Tier-1,Hyderabad,Telangana,South,boAt Official Website,0.7969
500189,2024-05-23,Male,25-34,Working Professional,Tier-1,Chennai,Tamil Nadu,South,Amazon India,2.5961
500190,2024-03-11,Male,45+,Young Professional,Tier-2,Coimbatore,Tamil Nadu,South,Flipkart,0.3866
500191,2024-12-11,Male,35-44,Family Buyer,Tier-1,Hyderabad,Telangana,South,Croma,2.4862
500192,2022-12-19,Female,25-34,Young Professional,Tier-2,Indore,Madhya Pradesh,Central,Amazon India,1.1874
500193,2020-12-10,Female,45+,Working Professional,Tier-3,Mysuru,Karnataka,South,Flipkart,1.5139
500194,2020-07-10,Male,35-44,Working Professional,Tier-2,Surat,Gujarat,West,Flipkart,0.5209
500195,2021-11-28,Female,35-44,Young Professional,Tier-1,Hyderabad,Telangana,South,Amazon India,0.9631
500196,2021-11-01,Male,25-34,Working Professional,Tier-2,Indore,Madhya Pradesh,Central,Local Multi-brand Retail,0.7091
500197,2021-07-11,Female,35-44,Family Buyer,Tier-1,Pune,Maharashtra,West,Amazon India,2.2762
500198,2022-08-24,Male,35-44,Family Buyer,Tier-2,Jaipur,Rajasthan,North,Amazon India,0.5312
500199,2024-03-11,Male,25-34,Young Professional,Tier-1,Delhi,Delhi,North,Amazon India,1.872
500200,2022-05-17,Female,18-24,Gamer,Tier-1,Ahmedabad,Gujarat,West,boAt Official Website,0.68
500201,2022-01-04,Male,18-24,Student,Tier-2,Indore,Madhya Pradesh,Central,Flipkart,0.4875
500202,2023-06-11,Male,18-24,Young Professional,Tier-2,Nagpur,Maharashtra,West,Amazon India,0.9736
500203,2024-10-07,Female,25-34,Working Professional,Tier-1,Mumbai,Maharashtra,West,Flipkart,0.4484
500204,2019-07-13,Female,18-24,Student,Tier-3,Gwalior,Madhya Pradesh,Central,Amazon India,1.0724
500205,2019-03-07,Male,35-44,Working Professional,Tier-1,Kolkata,West Bengal,East,Amazon India,0.6317
500206,2020-11-30,Female,18-24,Student,Tier-2,Nagpur,Maharashtra,West,Amazon India,0.2224
500207,2021-03-06,Male,35-44,Gift Buyer,Tier-2,Chandigarh,Chandigarh,North,Amazon India,0.73
500208,2022-04-05,Male,35-44,Young Professional,Tier-2,Chandigarh,Chandigarh,North,Flipkart,0.6558
500209,2022-09-25,Female,18-24,Student,Tier-1,Ahmedabad,Gujarat,West,boAt Official Website,0.3707
500210,2019-03-06,Male,35-44,Working Professional,Tier-1,Kolkata,West Bengal,East,Croma,0.4306
500211,2024-06-08,Female,45+,Family Buyer,Tier-3,Dehradun,Uttarakhand,North,Amazon India,0.7162
500212,2023-03-12,Male,18-24,Gift Buyer,Tier-2,Jaipur,Rajasthan,North,Amazon India,2.0422
500213,2020-08-08,Female,18-24,Student,Tier-2,Lucknow,Uttar Pradesh,North,Croma,0.9936
500214,2022-07-29,Male,25-34,Student,Tier-2,Indore,Madhya Pradesh,Central,Amazon India,1.5509
500215,2022-05-26,Male,25-34,Young Professional,Tier-1,Bengaluru,Karnataka,South,Flipkart,0.8392
500216,2021-08-10,Male,18-24,Student,Tier-1,Chennai,Tamil Nadu,South,Vijay Sales,0.5476
500217,2019-01-07,Male,18-24,Student,Tier-2,Lucknow,Uttar Pradesh,North,Amazon India,0.4922
500218,2020-09-15,Male,25-34,Young Professional,Tier-3,Rajkot,Gujarat,West,Flipkart,0.5234
500219,2019-03-09,Male,18-24,Gamer,Tier-1,Hyderabad,Telangana,South,Flipkart,0.8155
500220,2024-10-14,Male,18-24,Young Professional,Tier-3,Rajkot,Gujarat,West,Flipkart,1.2193
500221,2023-11-17,Female,35-44,Young Professional,Tier-2,Coimbatore,Tamil Nadu,South,Amazon India,1.0772
500222,2023-02-09,Female,25-34,Working Professional,Tier-1,Chennai,Tamil Nadu,South,Croma,0.3272
500223,2021-12-07,Male,25-34,Family Buyer,Tier-1,Delhi,Delhi,North,Croma,1.4878
500224,2023-01-29,Female,45+,Family Buyer,Tier-1,Hyderabad,Telangana,South,Flipkart,0.4249
500225,2023-04-04,Male,25-34,Young Professional,Tier-1,Mumbai,Maharashtra,West,Flipkart,1.1276
500226,2019-02-22,Male,25-34,Working Professional,Tier-1,Ahmedabad,Gujarat,West,Amazon India,0.4819
500227,2024-07-26,Female,25-34,Student,Tier-3,Dhanbad,Jharkhand,East,Vijay Sales,0.5154
500228,2021-04-21,Male,25-34,Working Professional,Tier-2,Surat,Gujarat,West,Flipkart,0.303
500229,2019-11-03,Female,25-34,Student,Tier-2,Lucknow,Uttar Pradesh,North,Amazon India,0.4498
500230,2019-11-15,Female,25-34,Family Buyer,Tier-1,Pune,Maharashtra,West,Amazon India,1.0518
500231,2020-07-28,Male,25-34,Gamer,Tier-2,Lucknow,Uttar Pradesh,North,Croma,1.1829
500232,2021-11-16,Male,35-44,Young Professional,Tier-3,Mysuru,Karnataka,South,boAt Official Website,1.6063
500233,2019-01-19,Male,25-34,Working Professional,Tier-2,Lucknow,Uttar Pradesh,North,Amazon India,0.4297
500234,2019-07-07,Female,35-44,Young Professional,Tier-1,Ahmedabad,Gujarat,West,Croma,0.9154
500235,2020-08-29,Male,25-34,Young Professional,Tier-3,Trichy,Tamil Nadu,South,Amazon India,0.9902
500236,2023-03-07,Male,18-24,Gift Buyer,Tier-3,Asansol,West Bengal,East,Flipkart,0.1581
500237,2019-04-05,Female,45+,Working Professional,Tier-3,Bareilly,Uttar Pradesh,North,Flipkart,0.5046
500238,2022-11-12,Male,18-24,Young Professional,Tier-2,Chandigarh,Chandigarh,North,Local Multi-brand Retail,0.7749
500239,2023-04-28,Male,18-24,Young Professional,Tier-3,Dehradun,Uttarakhand,North,Flipkart,0.9468
500240,2020-08-02,Male,25-34,Young Professional,Tier-3,Dhanbad,Jharkhand,East,Flipkart,0.2901
500241,2021-12-18,Female,45+,Family Buyer,Tier-3,Jabalpur,Madhya Pradesh,Central,boAt Official Website,1.7016
500242,2024-09-11,Female,18-24,Young Professional,Tier-1,Chennai,Tamil Nadu,South,boAt Official Website,1.7885
500243,2020-10-20,Male,18-24,Student,Tier-1,Delhi,Delhi,North,Flipkart,0.1921
500244,2020-07-30,Female,25-34,Student,Tier-2,Indore,Madhya Pradesh,Central,Amazon India,0.5728
500245,2022-03-10,Female,25-34,Working Professional,Tier-2,Lucknow,Uttar Pradesh,North,Flipkart,1.156
500246,2019-10-18,Male,18-24,Young Professional,Tier-3,Gwalior,Madhya Pradesh,Central,Flipkart,1.8005
500247,2023-01-04,Male,35-44,Young Professional,Tier-1,Ahmedabad,Gujarat,West,Croma,1.3283
500248,2021-10-20,Male,45+,Family Buyer,Tier-3,Dehradun,Uttarakhand,North,Amazon India,0.3367
500249,2022-03-17,Male,45+,Family Buyer,Tier-2,Bhopal,Madhya Pradesh,Central,Croma,0.874
500250,2024-01-07,Female,18-24,Student,Tier-3,Trichy,Tamil Nadu,South,Flipkart,0.1457
500251,2019-09-06,Female,18-24,Student,Tier-2,Lucknow,Uttar Pradesh,North,Reliance Digital,0.5215
500252,2021-03-27,Female,18-24,Young Professional,Tier-1,Hyderabad,Telangana,South,Flipkart,2.9053
