ProductID,Brand,Category,SubCategory,ProductName,HeroFlag,LaunchYear,MRP,CostPrice,PopularityWeight,DemandCluster
1077,boAt,Soundbars,Soundbars,boAt Aavante Bar 3150,1,2024,17500,11514.51,0.029460819,Hero
1078,boAt,Soundbars,Soundbars,boAt Aavante Bar 4800,1,2025,20250,13067.08,0.013002577,Hero
1079,boAt,Soundbars,Soundbars,boAt Aavante Bar 5400D,1,2022,25700,16220.45,0.008058269,Hero
1080,boAt,Soundbars,Soundbars,boAt Aavante Bar 5500DA,1,2023,5590,3713.03,0.005738707,Hero
1081,boAt,Soundbars,Soundbars,boAt Soundbars Series 5,0,2024,6990,4291.97,0.001260063,Core
1082,boAt,Soundbars,Soundbars,boAt Soundbars Series 6,0,2023,14000,8441.74,0.001016151,Core
1083,boAt,Power Banks,Energyshroom,boAt Energyshroom PB300,1,2023,5520,2735.96,0.024984393,Hero
1084,boAt,Power Banks,Energyshroom,boAt Energyshroom PB400 Pro,1,2022,4330,2345.76,0.011026899,Hero
1085,boAt,Power Banks,Energyshroom,boAt Energyshroom PB500,1,2023,5020,2672.13,0.006833854,Hero
1086,boAt,Power Banks,Energyshroom,boAt Energyshroom PB1000,1,2024,1340,636.48,0.004866739,Hero
1087,boAt,Power Banks,Energyshroom,boAt Power Series 5,0,2025,680,325.3,0.001068602,Core
1088,boAt,Wired Earphones,Bassheads,boAt Bassheads 102,1,2022,720,280.02,0.019987514,Hero
1089,boAt,Wired Earphones,Bassheads,boAt Bassheads 122,1,2025,840,323.37,0.008821519,Hero
1090,boAt,Wired Earphones,Bassheads,boAt Bassheads 152,1,2023,1260,507.02,0.005467084,Hero
1091,boAt,Wired Earphones,Bassheads,boAt Bassheads 220,1,2023,890,396.7,0.003893391,Hero
1092,boAt,Wired Earphones,Bassheads,boAt Bassheads 242,0,2025,740,314.94,0.000854882,Core
1093,boAt,Gaming Headphones,Gaming Rockerz,boAt Immortal 131,1,2025,7130,3919.37,0.020435175,Hero
1094,boAt,Gaming Headphones,Gaming Rockerz,boAt Immortal 171,1,2021,5840,2915.03,0.009019095,Hero
1095,boAt,Gaming Headphones,Gaming Rockerz,boAt Immortal 191,1,2022,1570,802.1,0.00558953,Hero
1096,boAt,Gaming Headphones,Gaming Rockerz,boAt Immortal 311,1,2022,3670,1860.11,0.003980591,Hero
1097,boAt,Party Speakers,PartyPal,boAt PartyPal 20,1,2024,20350,12506.94,0.01353743,Hero
1098,boAt,Party Speakers,PartyPal,boAt PartyPal 68 Pro,1,2024,5910,3734.39,0.005974765,Hero
1099,boAt,Projectors,Cinehead,boAt Cinehead M1,1,2022,29300,20725.47,0.010153073,Hero
1100,boAt,Projectors,Cinehead,boAt Cinehead E1,1,2024,11250,8138.81,0.004481074,Hero
1101,boAt,Dashcams,Drive,boAt Drive X1,1,2024,14850,9314.05,0.010153073,Hero
1102,boAt,Dashcams,Drive,boAt Drive X2,1,2023,7360,4471.28,0.004481074,Hero
1103,boAt,Chargers & Cables,Accessories,boAt EnergyBoost 20W Charger,1,2025,1150,490.79,0.012771984,Hero
1104,boAt,Chargers & Cables,Accessories,boAt 33W GaN Charger,1,2023,1140,481.82,0.005636934,Hero
1105,boAt,Chargers & Cables,Accessories,boAt Type-C Cable,1,2025,840,369.35,0.003493456,Hero
1106,boAt,Chargers & Cables,Accessories,boAt Braided USB-C Cable,1,2023,1150,520.37,0.002487869,Hero
